SN,DN/IP-List,First-Date,Last-Date
1,149.56.65.124,2017/01/16,2017/01/16
2,174.127.99.217,2016/10/06,2017/01/12
3,174.127.99.198,2017/01/11,2017/01/11
4,185.84.181.65,2017/01/10,2017/01/10
5,74.200.214.226,2016/12/07,2017/01/10
6,86.106.131.141,2016/12/24,2016/12/24
7,75.150.61.196,2016/12/07,2016/12/15
8,185.82.200.55,2016/11/22,2016/11/22
9,60.248.184.188,2016/11/10,2016/11/11
10,174.127.99.136,2016/09/07,2016/11/08
11,52.43.39.139,2016/10/19,2016/11/04
12,174.127.99.210,2016/10/29,2016/10/30
13,213.183.58.12,2016/10/25,2016/10/28
14,121.240.97.34,2016/10/24,2016/10/26
15,124.29.200.219,2016/10/26,2016/10/26
16,60.32.92.195,2016/10/21,2016/10/24
17,185.17.1.21,2016/07/26,2016/10/13
18,52.40.65.193,2016/10/12,2016/10/13
19,174.172.99.217,2016/10/06,2016/10/12
20,23.105.131.148,2016/10/06,2016/10/12
21,95.140.125.61,2016/10/12,2016/10/12
22,211.73.163.51,2012/04/05,2016/10/02
23,60.248.109.112,2012/04/05,2016/10/02
24,107.161.186.90,2016/08/16,2016/09/30
25,143.107.199.3,2016/09/30,2016/09/30
26,94.102.53.238,2016/09/27,2016/09/28
27,117.3.65.206,2016/07/25,2016/09/25
28,66.210.97.90,2016/09/13,2016/09/25
29,185.17.1.29,2016/08/08,2016/09/02
30,213.208.129.211,2016/09/01,2016/09/01
31,174.127.99.171,2016/08/22,2016/08/25
32,79.96.61.206,2016/08/25,2016/08/25
33,103.40.101.71,2016/08/08,2016/08/08
34,218.228.19.9,2016/08/01,2016/08/06
35,174.127.99.137,2016/06/22,2016/08/04
36,111.86.142.67,2016/07/29,2016/08/03
37,217.26.70.200,2016/08/01,2016/08/02
38,185.17.1.185,2016/08/01,2016/08/01
39,209.202.252.42,2016/08/01,2016/08/01
40,211.18.200.4,2016/08/01,2016/08/01
41,23.105.131.147,2016/08/01,2016/08/01
42,37.49.225.69,2016/08/01,2016/08/01
43,67.23.226.139,2016/08/01,2016/08/01
44,79.96.153.93,2016/08/01,2016/08/01
45,80.109.240.71,2016/08/01,2016/08/01
46,80.241.232.207,2016/08/01,2016/08/01
47,66.147.244.210,2016/06/29,2016/07/29
48,93.175.140.1,2016/07/29,2016/07/29
49,178.78.87.8,2016/07/15,2016/07/28
50,217.64.197.138,2016/07/27,2016/07/27
51,98.131.20.17,2016/06/23,2016/07/27
52,176.111.63.51,2016/07/22,2016/07/26
53,185.117.153.176,2016/07/22,2016/07/26
54,185.17.1.196,2016/07/26,2016/07/26
55,194.1.236.126,2016/07/22,2016/07/26
56,77.222.54.202,2016/07/22,2016/07/26
57,200.2.126.58,2016/07/01,2016/07/21
58,208.109.248.8,2016/07/20,2016/07/21
59,43.242.33.121,2016/07/20,2016/07/20
60,167.88.2.171,2016/07/13,2016/07/19
61,174.127.99.163,2016/07/19,2016/07/19
62,83.235.64.44,2016/07/15,2016/07/15
63,2.254.112.11,2016/07/14,2016/07/14
64,80.244.134.169,2016/06/27,2016/07/14
65,104.171.115.11,2016/06/03,2016/07/13
66,174.127.99.220,2016/07/13,2016/07/13
67,23.105.131.207,2016/06/22,2016/07/13
68,46.183.222.37,2016/07/13,2016/07/13
69,103.25.58.168,2016/07/05,2016/07/06
70,204.232.192.84,2016/06/28,2016/06/28
71,192.186.246.134,2016/06/27,2016/06/27
72,210.171.0.30,2016/06/27,2016/06/27
73,216.218.93.172,2016/06/27,2016/06/27
74,217.172.226.2,2016/06/27,2016/06/27
75,37.208.69.13,2016/06/27,2016/06/27
76,82.140.32.172,2016/06/27,2016/06/27
77,212.40.5.95,2016/06/24,2016/06/24
78,217.26.70.100,2016/06/24,2016/06/24
79,23.229.137.8,2016/06/24,2016/06/24
80,67.199.50.113,2016/06/24,2016/06/24
81,141.10.91.35,2016/06/16,2016/06/20
82,92.222.204.59,2016/05/31,2016/05/31
83,67.23.226.12,2016/05/29,2016/05/29
84,52.11.103.78,2016/05/27,2016/05/27
85,80.88.89.222,2016/05/24,2016/05/27
86,210.245.92.63,2016/05/25,2016/05/25
87,213.192.1.171,2016/05/25,2016/05/25
88,84.40.2.227,2016/05/21,2016/05/23
89,24.199.222.250,2016/05/20,2016/05/20
90,37.142.247.223,2016/04/20,2016/05/20
91,160.16.69.29,2016/05/18,2016/05/18
92,79.118.132.213,2016/05/10,2016/05/10
93,111.249.102.102,2016/05/09,2016/05/09
94,118.163.208.193,2016/05/09,2016/05/09
95,59.124.210.68,2016/05/09,2016/05/09
96,59.125.7.185,2016/05/09,2016/05/09
97,61.219.96.18,2016/05/09,2016/05/09
98,81.134.1.9,2016/05/09,2016/05/09
99,64.207.144.148,2016/04/29,2016/04/29
100,88.148.36.4,2016/04/21,2016/04/21
101,46.18.32.75,2015/08/20,2016/04/20
102,94.102.63.7,2016/03/24,2016/04/19
103,103.27.108.122,2016/04/15,2016/04/15
104,190.223.61.37,2016/04/14,2016/04/14
105,203.138.30.123,2016/04/11,2016/04/11
106,195.196.147.78,2016/04/05,2016/04/05
107,64.147.192.68,2016/04/05,2016/04/05
108,64.76.19.251,2016/04/05,2016/04/05
109,70.164.127.132,2016/04/05,2016/04/05
110,50.28.211.199,2016/03/12,2016/03/12
111,198.50.119.114,2016/03/04,2016/03/04
112,52.24.195.93,2016/03/04,2016/03/04
113,113.10.243.78,2016/02/26,2016/02/26
114,89.248.166.131,2016/02/23,2016/02/23
115,87.229.86.20,2016/02/12,2016/02/17
116,89.248.164.53,2016/02/05,2016/02/05
117,91.239.232.145,2016/02/03,2016/02/03
118,202.191.112.60,2016/01/21,2016/01/21
119,204.152.219.104,2016/01/20,2016/01/20
120,185.72.178.240,2016/01/12,2016/01/12
121,220.135.113.83,2015/12/21,2015/12/29
122,61.230.55.200,2015/12/21,2015/12/29
123,110.164.184.28,2015/12/22,2015/12/22
124,173.254.223.117,2015/05/31,2015/12/22
125,178.238.225.68,2015/12/20,2015/12/20
126,46.105.161.233,2015/12/15,2015/12/15
127,192.225.226.98,2015/12/14,2015/12/14
128,46.151.52.196,2015/12/10,2015/12/14
129,46.151.52.231,2015/12/12,2015/12/14
130,118.99.221.93,2015/12/12,2015/12/12
131,148.251.1.183,2015/12/12,2015/12/12
132,204.15.207.21,2015/12/12,2015/12/12
133,60.249.47.51,2013/04/17,2015/12/12
134,46.151.52.197,2015/12/05,2015/12/11
135,192.169.82.86,2015/12/02,2015/12/10
136,5.254.112.60,2015/12/03,2015/12/10
137,178.32.79.71,2015/12/09,2015/12/09
138,89.45.67.200,2015/12/08,2015/12/08
139,203.170.248.117,2015/12/05,2015/12/05
140,74.117.183.84,2015/12/03,2015/12/05
141,5.39.222.193,2015/12/03,2015/12/03
142,5.39.222.196,2015/12/01,2015/12/03
143,46.20.33.75,2015/11/22,2015/11/27
144,185.32.221.13,2015/11/22,2015/11/22
145,192.186.227.64,2015/11/21,2015/11/21
146,181.143.71.20,2015/11/20,2015/11/20
147,88.101.108.254,2015/11/20,2015/11/20
148,88.209.249.139,2015/11/20,2015/11/20
149,203.129.197.50,2015/08/11,2015/11/19
150,208.117.68.78,2015/08/11,2015/11/19
151,202.70.89.57,2015/11/18,2015/11/18
152,202.79.57.155,2015/11/18,2015/11/18
153,87.248.191.142,2015/11/18,2015/11/18
154,178.32.74.32,2015/11/17,2015/11/17
155,91.229.79.138,2015/11/17,2015/11/17
156,91.231.87.249,2015/11/17,2015/11/17
157,190.0.99.80,2015/11/11,2015/11/11
158,37.19.85.9,2015/11/11,2015/11/11
159,50.62.161.86,2015/10/28,2015/11/07
160,176.31.66.75,2015/11/06,2015/11/06
161,188.167.93.231,2015/11/06,2015/11/06
162,82.135.10.253,2015/11/06,2015/11/06
163,77.65.23.211,2015/10/26,2015/11/04
164,75.99.13.123,2015/11/03,2015/11/03
165,89.34.26.183,2015/10/26,2015/10/26
166,66.220.9.50,2015/10/24,2015/10/24
167,112.133.203.43,2015/09/10,2015/10/21
168,41.77.138.134,2015/10/21,2015/10/21
169,79.172.242.87,2015/10/21,2015/10/21
170,195.62.29.81,2015/10/19,2015/10/19
171,107.150.29.52,2015/10/16,2015/10/16
172,50.24.13.21,2015/10/16,2015/10/16
173,172.242.228.68,2015/10/14,2015/10/14
174,197.149.90.166,2015/09/30,2015/10/14
175,204.140.19.12,2015/10/14,2015/10/14
176,91.240.236.148,2015/10/14,2015/10/14
177,149.210.180.13,2015/10/13,2015/10/13
178,94.40.82.239,2015/10/13,2015/10/13
179,165.254.207.89,2015/10/12,2015/10/12
180,69.144.171.44,2015/10/10,2015/10/10
181,24.148.217.188,2015/10/06,2015/10/08
182,84.246.226.211,2015/10/07,2015/10/08
183,216.119.122.167,2015/10/06,2015/10/06
184,91.240.236.122,2015/10/02,2015/10/02
185,37.57.144.177,2015/05/21,2015/10/01
186,87.97.168.205,2015/10/01,2015/10/01
187,82.115.76.211,2015/08/27,2015/09/30
188,86.106.93.230,2015/09/28,2015/09/28
189,94.141.130.9,2015/08/24,2015/09/25
190,69.9.204.114,2015/05/21,2015/09/24
191,85.159.237.148,2015/09/23,2015/09/23
192,64.182.215.68,2015/09/21,2015/09/21
193,64.182.6.61,2015/09/21,2015/09/21
194,112.33.203.43,2015/09/17,2015/09/17
195,67.22.195.6,2015/09/17,2015/09/17
196,216.170.118.113,2015/09/14,2015/09/15
197,24.33.131.116,2015/06/25,2015/09/14
198,69.162.95.210,2015/09/14,2015/09/14
199,216.254.231.11,2015/09/11,2015/09/11
200,220.135.46.24,2015/09/11,2015/09/11
201,150.129.49.11,2015/08/28,2015/09/10
202,186.68.94.38,2015/08/28,2015/09/10
203,67.221.195.6,2015/08/26,2015/09/10
204,67.222.201.222,2015/07/25,2015/09/10
205,173.216.247.74,2015/08/26,2015/08/28
206,69.163.81.211,2015/08/28,2015/08/28
207,72.230.82.80,2015/06/25,2015/08/28
208,180.233.123.210,2015/08/26,2015/08/26
209,63.248.156.246,2015/08/11,2015/08/24
210,89.145.88.6,2015/08/24,2015/08/24
211,62.152.36.25,2015/08/20,2015/08/21
212,109.236.121.91,2015/08/11,2015/08/14
213,209.27.49.117,2015/07/25,2015/08/14
214,62.113.227.69,2015/05/31,2015/08/14
215,64.182.215.71,2015/08/13,2015/08/13
216,162.153.189.143,2015/07/25,2015/08/11
217,209.40.238.170,2015/08/11,2015/08/11
218,64.111.42.64,2015/08/11,2015/08/11
219,67.222.201.61,2015/07/25,2015/08/11
220,72.171.9.146,2015/07/25,2015/08/11
221,72.174.240.148,2015/08/11,2015/08/11
222,72.175.10.116,2015/08/11,2015/08/11
223,39.109.5.28,2015/08/02,2015/08/02
224,93.171.132.5,2015/07/30,2015/07/30
225,123.51.208.194,2015/07/21,2015/07/21
226,63.249.143.70,2015/07/14,2015/07/14
227,64.31.43.138,2015/07/14,2015/07/14
228,178.33.63.68,2015/07/08,2015/07/08
229,176.28.10.253,2015/07/06,2015/07/06
230,176.99.6.10,2015/07/06,2015/07/06
231,173.247.245.154,2015/06/29,2015/06/30
232,104.174.123.66,2015/06/25,2015/06/25
233,109.86.226.85,2015/06/25,2015/06/25
234,173.216.240.56,2015/06/25,2015/06/25
235,173.248.29.43,2015/06/25,2015/06/25
236,176.36.251.208,2015/06/25,2015/06/25
237,188.255.165.154,2015/05/21,2015/06/25
238,188.255.169.176,2015/06/25,2015/06/25
239,24.220.92.193,2015/06/25,2015/06/25
240,64.203.121.6,2015/06/25,2015/06/25
241,68.190.246.142,2015/06/25,2015/06/25
242,67.222.14.47,2015/06/23,2015/06/23
243,116.193.77.118,2014/12/04,2015/06/22
244,115.241.223.67,2015/06/20,2015/06/20
245,192.186.217.68,2015/06/10,2015/06/10
246,46.22.208.121,2015/06/10,2015/06/10
247,216.22.14.37,2015/06/02,2015/06/02
248,188.255.152.190,2015/05/29,2015/05/29
249,188.255.249.28,2015/05/20,2015/05/29
250,79.101.42.247,2015/05/20,2015/05/29
251,95.143.130.63,2015/05/13,2015/05/29
252,96.46.99.215,2015/05/20,2015/05/29
253,107.161.207.151,2015/05/19,2015/05/28
254,66.215.30.118,2015/05/19,2015/05/28
255,68.70.242.203,2015/05/19,2015/05/28
256,73.22.119.204,2015/05/19,2015/05/28
257,93.119.102.70,2015/05/19,2015/05/28
258,96.40.19.168,2015/05/19,2015/05/28
259,96.46.100.49,2015/05/19,2015/05/28
260,96.46.103.232,2015/05/19,2015/05/28
261,91.221.217.139,2015/05/13,2015/05/25
262,178.214.221.89,2015/05/21,2015/05/22
263,24.159.153.153,2015/05/21,2015/05/21
264,162.249.150.113,2015/05/20,2015/05/20
265,173.248.13.100,2015/05/20,2015/05/20
266,209.240.179.10,2015/05/20,2015/05/20
267,38.66.20.98,2015/05/20,2015/05/20
268,176.223.153.138,2015/05/19,2015/05/19
269,195.228.219.230,2015/05/19,2015/05/19
270,212.92.6.123,2015/05/19,2015/05/19
271,216.245.211.242,2015/05/13,2015/05/19
272,216.51.193.145,2015/05/19,2015/05/19
273,151.236.216.254,2015/05/18,2015/05/18
274,37.143.15.116,2015/05/18,2015/05/18
275,62.152.36.90,2015/05/18,2015/05/18
276,94.242.58.164,2015/05/18,2015/05/18
277,148.251.248.4,2015/05/15,2015/05/15
278,160.218.186.106,2015/05/15,2015/05/15
279,84.246.161.47,2015/05/15,2015/05/15
280,91.245.26.136,2015/05/15,2015/05/15
281,94.127.129.214,2015/05/15,2015/05/15
282,109.75.154.46,2015/05/14,2015/05/14
283,95.143.128.70,2015/05/13,2015/05/14
284,95.143.134.103,2015/05/13,2015/05/14
285,195.146.125.141,2015/05/13,2015/05/13
286,81.90.164.134,2015/05/13,2015/05/13
287,91.221.217.135,2015/05/13,2015/05/13
288,200.87.48.4,2015/05/12,2015/05/12
289,210.209.121.92,2015/05/07,2015/05/08
290,91.121.173.215,2015/05/08,2015/05/08
291,178.175.138.247,2015/05/05,2015/05/05
292,128.0.85.11,2015/04/29,2015/04/29
293,188.128.112.213,2015/04/29,2015/04/29
294,31.131.138.75,2015/04/21,2015/04/29
295,5.44.15.70,2015/04/29,2015/04/29
296,91.240.97.45,2015/04/22,2015/04/29
297,91.240.97.54,2015/04/22,2015/04/29
298,91.240.97.64,2015/04/22,2015/04/29
299,91.240.97.66,2015/04/22,2015/04/29
300,176.106.121.140,2015/04/21,2015/04/28
301,176.106.122.31,2015/04/16,2015/04/28
302,188.123.54.111,2015/04/16,2015/04/28
303,210.5.47.139,2015/04/28,2015/04/28
304,217.12.59.234,2015/04/22,2015/04/28
305,42.156.32.92,2015/04/28,2015/04/28
306,66.34.22.70,2015/04/27,2015/04/28
307,80.87.220.102,2015/04/22,2015/04/28
308,81.163.87.7,2015/04/16,2015/04/28
309,85.248.2.228,2015/04/21,2015/04/28
310,91.194.254.240,2015/04/28,2015/04/28
311,91.240.97.71,2015/04/21,2015/04/28
312,109.196.204.142,2015/04/23,2015/04/24
313,149.154.64.70,2015/04/24,2015/04/24
314,185.12.95.191,2015/04/24,2015/04/24
315,195.218.251.42,2015/04/24,2015/04/24
316,46.151.130.90,2015/04/21,2015/04/24
317,78.24.218.186,2015/04/15,2015/04/24
318,89.28.83.228,2015/04/15,2015/04/24
319,91.240.97.36,2015/04/21,2015/04/24
320,91.240.97.38,2015/04/22,2015/04/24
321,91.240.97.70,2015/04/24,2015/04/24
322,95.80.123.41,2015/04/24,2015/04/24
323,69.64.33.20,2015/03/30,2015/04/23
324,91.194.254.238,2015/04/22,2015/04/22
325,221.13.21.26,2015/04/21,2015/04/21
326,46.151.50.65,2015/04/21,2015/04/21
327,59.188.13.204,2015/04/21,2015/04/21
328,95.211.243.120,2015/04/21,2015/04/21
329,188.123.37.229,2015/04/16,2015/04/20
330,194.190.1.64,2015/04/16,2015/04/20
331,218.38.141.141,2015/04/10,2015/04/20
332,37.140.199.100,2015/04/15,2015/04/20
333,46.36.219.32,2015/04/17,2015/04/20
334,62.16.54.127,2015/04/16,2015/04/20
335,83.222.73.9,2015/04/16,2015/04/20
336,91.146.54.123,2015/04/17,2015/04/20
337,74.119.194.18,2015/04/15,2015/04/17
338,78.157.227.34,2015/04/16,2015/04/17
339,176.106.142.52,2015/04/16,2015/04/16
340,83.219.139.124,2015/04/16,2015/04/16
341,83.239.125.206,2015/04/16,2015/04/16
342,143.248.187.95,2015/04/08,2015/04/15
343,218.232.228.174,2015/04/08,2015/04/15
